PMID,year,journal,title,sentence_count,species_context,genes,themes
30976994,2019,Metabolomics : Official journal of the Metabolomic Society,Comparative metabolomics analysis of different resistant rice varieties in response to the brown planthopper Nilaparvata lugens Hemiptera: Delphacidae.,57,BPH,Bph3;Bph1;Bph2;Bph32;Bph26,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
31464583,2019,BMC genomics,Combining next-generation sequencing and single-molecule sequencing to explore brown plant hopper responses to contrasting genotypes of japonica rice.,40,BPH,Bph6,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
31575938,2019,Scientific reports,Phenotypic and transcriptomic responses of two Nilaparvata lugens populations to the Mudgo rice containing Bph1.,33,BPH,Bph1;Bph15;Bph14,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
30658570,2019,BMC plant biology,Proteomic analysis of the rice (Oryza officinalis) provides clues on molecular tagging of proteins for brown planthopper resistance.,32,BPH,OsDTC1,次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
31086482,2019,Breeding science,Development of molecular marker and introgression of Bph3 into elite rice cultivars by marker-assisted selection.,30,BPH,Bph3;Os04g0201900;Os04g0202300;Bph12;Bph14;Bph15;Bph6;Bph25;Bph26,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
30888525,2019,"Rice (New York, N.Y.)","Identification of spontaneous mutation for broad-spectrum brown planthopper resistance in a large, long-term fast neutron mutagenized rice population.",29,BPH,Bph32;OsLecRK3;Bph9;OsSTPS2;OsLecRK1;OsLecRK2;Bph14;Bph1;Bph18;Bph26;Bph29;OsLecRK;Bph15;OsLecRKs,遗传定位、克隆与抗源部署
31165331,2019,"Rice (New York, N.Y.)",High-resolution mapping and breeding application of a novel brown planthopper resistance gene derived from wild rice (Oryza. rufipogon Griff).,27,BPH,Bph36;Bph27;Bph3;Bph29;Bph1;Bph14;Bph15,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
31226870,2019,International journal of molecular sciences,"OsMKK3, a Stress-Responsive Protein Kinase, Positively Regulates Rice Resistance to Nilaparvata lugens via Phytohormone Dynamics.",23,BPH,OsMKK3;OsMPK20-5;OsMPK3;OsMPK4,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;韧皮部取食界面与结构防御
30734457,2019,Plant biotechnology journal,The OsmiR396-OsGRF8-OsF3H-flavonoid pathway mediates resistance to the brown planthopper in rice (Oryza sativa).,22,BPH,OsmiR396-OsGRF8-OsF3H-flavonoid;OsmiR396;OsmiR396-sequestered;OsGRF;OsGRF8;OsmiR396s;OsmiR396a;OsmiR396b;Bph14;Bph18;Bph26;Bph29;Bph3;Bph32;Bph6;Bph9;OsF3H;OsF3HR16;OsmiR396-OsGRF8,次生代谢与挥发性防御;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
31234788,2019,BMC microbiology,A comparative study of microbial community and dynamics of Asaia in the brown planthopper from susceptible and resistant rice varieties.,21,BPH,Bph2;Bph3,宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
31726710,2019,"Plants (Basel, Switzerland)",The Development and Characterization of Near-Isogenic and Pyramided Lines Carrying Resistance Genes to Brown Planthopper with the Genetic Background of Japonica Rice (Oryza sativa L.).,21,BPH,Bph2;Bph20;Bph3;Bph32;Bph17;Bph21;Bph1;Bph10;Bph9;Bph25;Bph26;Bph8;Bph18;Bph12;Bph14;Bph15;Bph30;Bph4;Bph6;Bph5,宿主免疫、肽信号与昆虫效应子;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
31297040,2019,Hereditas,Mapping and characterization of a quantitative trait locus resistance to the brown planthopper in the rice variety IR64.,18,BPH,Bph37;Bph1,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
31885402,2019,Euphytica: Netherlands journal of plant breeding,"Identification of a novel locus, BPH38(t), conferring resistance to brown planthopper (Nilaparvata lugens Stal.) using early backcross population in rice (Oryza sativa L.).",16,BPH,Bph38;Bph1;Bph10;Bph11;Bph12;Bph13;Bph14;Bph15;Bph16;Bph17;Bph18;Bph19;Bph2;Bph20;Bph21;Bph22;Bph23;Bph24;Bph25;Bph26,激素、氧化还原与信号调控;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
30791475,2019,Insects,Influence of Abscisic Acid-Biosynthesis Inhibitor Fluridone on the Feeding Behavior and Fecundity of Nilaparvata lugens.,15,BPH,,激素、氧化还原与信号调控;韧皮部取食界面与结构防御
30658494,2019,"Sensors (Basel, Switzerland)",Sensitivity of a Ratio Vegetation Index Derived from Hyperspectral Remote Sensing to the Brown Planthopper Stress on Rice Plants.,12,BPH,,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
30893760,2019,International journal of molecular sciences,"The Desaturase Gene Family is Crucially Required for Fatty Acid Metabolism and Survival of the Brown Planthopper, Nilaparvata lugens.",9,BPH,Bph4,生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署
30804810,2019,Frontiers in physiology,"Effects of Fungicide Propiconazole on the Yeast-Like Symbiotes in Brown Planthopper (BPH, Nilaparvata lugens Stål) and Its Role in Controlling BPH Infestation.",7,BPH,,生长防御权衡与农艺环境
30796564,2019,"Rice (New York, N.Y.)",OsHLH61-OsbHLH96 influences rice defense to brown planthopper through regulating the pathogen-related genes.,7,BPH,OsHLH61-OsbHLH96;OsHLH61;OsHI-LOX;Osr9-LOX1;OsbHLH96,激素、氧化还原与信号调控;生长防御权衡与农艺环境
30715410,2019,Journal of experimental botany,Honeydew-associated microbes elicit defense responses against brown planthopper in rice.,6,BPH,,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;韧皮部取食界面与结构防御
31620015,2019,Frontiers in physiology,Vitellogenin and Vitellogenin-Like Genes in the Brown Planthopper.,5,BPH,,生长防御权衡与农艺环境;韧皮部取食界面与结构防御
31024591,2019,Frontiers in plant science,Overexpression of Arabidopsis Nucleotide-Binding and Leucine-Rich Repeat Genes RPS2 and RPM1(D505V) Confers Broad-Spectrum Disease Resistance in Rice.,4,BPH,,韧皮部取食界面与结构防御
29633905,2019,Journal of biomolecular structure & dynamics,"Insights into the structure-function relationship of brown plant hopper resistance protein, Bph14 of rice plant: a computational structural biology approach.",4,BPH,Bph14,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
30739972,2019,"Crop protection (Guildford, Surrey)",Unanticipated benefits and potential ecological costs associated with pyramiding leafhopper resistance loci in rice.,4,BPH;WBPH,Bph3;Bph32;Bph25;Bph26,宿主免疫、肽信号与昆虫效应子;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
30743158,2019,Journal of molecular graphics & modelling,Computational approach to understand molecular mechanism involved in BPH resistance in Bt- rice plant.,4,BPH,,生长防御权衡与农艺环境;韧皮部取食界面与结构防御
31598076,2019,Breeding science,"High-resolution mapping of GRH6, a gene from Oryza nivara (Sharma et Shastry) conferring resistance to green rice leafhopper (Nephotettix cincticeps Uhler).",3,BPH;WBPH,Os04g0165900;Os04g0166000;Bph18;Bph26,遗传定位、克隆与抗源部署
30291858,2019,Journal of insect physiology,Metabolic responses of brown planthoppers to IR56 resistant rice cultivar containing multiple resistance genes.,3,BPH,,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
30692583,2019,Scientific reports,A Disease Resistance Elicitor Laminarin Enhances Tea Defense against a Piercing Herbivore Empoasca (Matsumurasca) onukii Matsuda.,3,BPH,,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;韧皮部取食界面与结构防御
31521227,2019,Plant science : an international journal of experimental plant biology,Directional upgrading of brown planthopper resistance in an elite rice cultivar by precise introgression of two resistance genes using genomics-based breeding.,3,BPH,Bph14;Bph15,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
31611805,2019,Frontiers in physiology,Male Selenoprotein F-Like (SPF-L) Influences Female Reproduction and Population Growth in Nilaparvata lugens (Hemiptera: Delphacidae).,2,BPH,,
31242182,2019,PLoS genetics,miR-34 modulates wing polyphenism in planthopper.,2,BPH,,生长防御权衡与农艺环境
31836628,2019,Life science alliance,Metabolome-based prediction of yield heterosis contributes to the breeding of elite rice.,2,BPH,,生长防御权衡与农艺环境
31700122,2019,Scientific reports,Comparison of upper sublethal and lethal temperatures in three species of rice planthoppers.,2,BPH;SBPH;WBPH,,
30602493,2019,Plant physiology,A Group D MAPK Protects Plants from Autotoxicity by Suppressing Herbivore-Induced Defense Signaling.,2,BPH,OsMAPK20-5,激素、氧化还原与信号调控
31597380,2019,Insects,"Effects of Insecticide Stress on Expression of NlABCG Transporter Gene in the Brown Planthopper, Nilaparvata lugens.",2,BPH,,生长防御权衡与农艺环境;韧皮部取食界面与结构防御
31581452,2019,Insects,"Effects of Vegetation Strips, Fertilizer Levels and Varietal Resistance on the Integrated Management of Arthropod Biodiversity in a Tropical Rice Ecosystem.",2,,Bph4;Bph1,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
30168780,2019,Molecular plant-microbe interactions : MPMI,Secretome Analysis and In Planta Expression of Salivary Proteins Identify Candidate Effectors from the Brown Planthopper Nilaparvata lugens.,2,BPH,,宿主免疫、肽信号与昆虫效应子
31226788,2019,International journal of molecular sciences,"Molecular Characterization of Ca(2+)/Calmodulin-Dependent Protein Kinase II Isoforms in Three Rice Planthoppers-Nilaparvata lugens, Laodelphax striatellus, and Sogatella furcifera.",2,BPH;SBPH;WBPH,Bph3;Bph1;Bph2,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
31156451,2019,Frontiers in physiology,A Mucin-Like Protein Is Essential for Oviposition in Nilaparvata lugens.,2,BPH,,
30796339,2019,Scientific reports,Epistatic interactions of major effect drought QTLs with genetic background loci determine grain yield of rice under drought stress.,1,BPH,,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
31502096,2019,"Rice (New York, N.Y.)",Improving rice blast resistance of Feng39S through molecular marker-assisted backcrossing.,1,BPH,,遗传定位、克隆与抗源部署
31740845,2019,Nature ecology & evolution,Genomic basis of European ash tree resistance to ash dieback fungus.,1,BPH,,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控
31095858,2019,Pest management science,Current understanding of the molecular players involved in resistance to rice planthoppers.,1,BPH,,宿主免疫、肽信号与昆虫效应子;韧皮部取食界面与结构防御
31143556,2019,PeerJ,Dissection of three quantitative trait loci for grain size on the long arm of chromosome 10 in rice (Oryza sativa L.).,1,,Bph8,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
31695897,2019,Ecology and evolution,Microbiome responses during virulence adaptation by a phloem-feeding insect to resistant near-isogenic rice lines.,1,,Bph1;Bph2,宿主免疫、肽信号与昆虫效应子;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
31382588,2019,Cells,Overexpression of MiR482c in Tomato Induces Enhanced Susceptibility to Late Blight.,1,BPH,Osa-miR396,
29178612,2019,Insect science,Identification of a sugar gustatory receptor and its effect on fecundity of the brown planthopper Nilaparvata lugens.,1,BPH,,宿主免疫、肽信号与昆虫效应子;遗传定位、克隆与抗源部署
31358562,2019,"G3 (Bethesda, Md.)",QTG-Finder: A Machine-Learning Based Algorithm To Prioritize Causal Genes of Quantitative Trait Loci in Arabidopsis and Rice.,1,,Bph15,
31708946,2019,Frontiers in plant science,Management of Pest Insects and Plant Diseases by Non-Transformative RNAi.,1,BPH,,
31367224,2019,Plant methods,Methodology: ssb-MASS: a single seed-based sampling strategy for marker-assisted selection in rice.,1,,Bph17,病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署
31819024,2019,Journal of genetics,Genetics of novel brown planthopper Nilaparvata lugens (Stål) resistance genes in derived introgression lines from the interspecific cross O. sativa var. Swarna × O. nivara.,1,BPH,,遗传定位、克隆与抗源部署
31491008,2019,PloS one,Temporary inhibition of positive phototaxis in emigratory population of  Nilaparvata lugens by mark-release-recapture.,1,BPH,,
30626674,2019,Journal of virology,Horizontal Transfer of a Retrotransposon from the Rice Planthopper to the Genome of an Insect DNA Virus.,1,BPH;SBPH;WBPH,,病毒-媒介-水稻三方互作
31069883,2019,Insect molecular biology,"The MTase15 regulates reproduction in the wing-dimorphic planthopper, Nilaparvata lugens (Hemiptera: Delphacidae).",1,BPH,,
31113376,2019,BMC genomics,Identification of genes underlying phenotypic plasticity of wing size via insulin signaling pathway by network-based analysis in Sogatella furcifera.,1,BPH;WBPH,,
31293435,2019,Frontiers in physiology,Jinggangmycin-Induced UDP-Glycosyltransferase 1-2-Like Is a Positive Modulator of Fecundity and Population Growth in Nilaparvata lugens (Stål) (Hemiptera: Delphacidae).,1,BPH,,
31159719,2019,BMC genomics,Application of high-throughput amplicon sequencing-based SSR genotyping in genetic background screening.,1,BPH,Bph6,遗传定位、克隆与抗源部署
31381594,2019,PloS one,"Isolation, cloning and expression of CCA1 gene in transgenic progeny plants of Japonica rice exhibiting altered morphological traits.",1,BPH,OsEXPA10,遗传定位、克隆与抗源部署
31850073,2019,Frontiers in genetics,GWAS-Assisted Genomic Prediction to Predict Resistance to Septoria Tritici Blotch in Nordic Winter Wheat at Seedling Stage.,1,BPH,Bph29,
30551584,2018,International journal of molecular sciences,Differential Responses of OsMPKs in IR56 Rice to Two BPH Populations of Different Virulence Levels.,82,BPH,OsMPKs;OsLecRKs;Bph3;OsMPK5;OsMPK1;OsMPK4;OsMPK9;OsMPK8;OsMPK12;OsMPK13;OsMPK14;OsMPK16;OsMPK3;OsMPK;OsLecRK3;OsLecRK4;OsMPK7;OsGST;OsSOD;OsEDS1,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;遗传定位、克隆与抗源部署
29856853,2018,PloS one,Resistance to Nilaparvata lugens in rice lines introgressed with the resistance genes Bph14 and Bph15 and related resistance types.,27,BPH,Bph14;Bph15,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
30622550,2018,Frontiers in plant science,Bacillus velezensis YC7010 Enhances Plant Defenses Against Brown Planthopper Through Transcriptomic and Metabolic Changes in Rice.,26,BPH,OsLOX1,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;韧皮部取食界面与结构防御
29896209,2018,Frontiers in plant science,"Schaftoside Interacts With NlCDK1 Protein: A Mechanism of Rice Resistance to Brown Planthopper, Nilaparvata lugens.",24,BPH,,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
30217023,2018,International journal of molecular sciences,Overexpression of OsGID1 Enhances the Resistance of Rice to the Brown Planthopper Nilaparvata lugens.,20,BPH,OsGID1;OsGID1-mediated;OsSLR1;OsWRKY13;OsWRKY30;OsWRKY33;OsGID-mediated;OsWRKY45;OsACS2,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
30740564,2018,Plant diversity,Current understanding of maize and rice defense against insect herbivores.,18,BPH;WBPH,Bph6;OsLIS-silenced;OsERF3-silenced;Oshpl3;OsWRKY70;OsMPK3;OsSLR1;OsWRKY24;Bph1;OsJMT1,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境;韧皮部取食界面与结构防御
29644569,2018,"Rice (New York, N.Y.)",Evaluation and breeding application of six brown planthopper resistance genes in rice maintainer line Jin 23B.,17,BPH,Bph18;Bph14;Bph15;Bph3;Bph21;Bph20;Bph1;Bph4,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
30291462,2018,"Rice (New York, N.Y.)","Identification and fine mapping of Bph33, a new brown planthopper resistance gene in rice (Oryza sativa L.).",13,BPH,Bph33;Bph12;Bph15;Bph20;Bph3;Bph9,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
29855556,2018,Scientific reports,Expression of hybrid fusion protein (Cry1Ac::ASAL) in transgenic rice plants imparts resistance against multiple insect pests.,11,BPH;WBPH,ASAL;asal,宿主免疫、肽信号与昆虫效应子;病毒-媒介-水稻三方互作
29893903,2018,Journal of experimental botany,Brassinosteroids mediate susceptibility to brown planthopper by integrating with the salicylic acid and jasmonic acid pathways in rice.,11,BPH,Bph3;Bph14;Bph18;Bph26;Bph9,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
29321899,2018,Ecology and evolution,Silicon amendment to rice plants contributes to reduced feeding in a phloem-sucking insect through modulation of callose deposition.,11,BPH,,激素、氧化还原与信号调控;韧皮部取食界面与结构防御
29695083,2018,International journal of molecular sciences,The Commonly Used Bactericide Bismerthiazol Promotes Rice Defenses against Herbivores.,8,BPH;WBPH,OsWRKY45-dependent,次生代谢与挥发性防御;激素、氧化还原与信号调控;生长防御权衡与农艺环境
29348442,2018,Scientific reports,"A neutral ceramidase, NlnCDase, is involved in the stress responses of brown planthopper, Nilaparvata lugens (Stål).",8,BPH,,
29476225,2018,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,"High-resolution genetic mapping of a novel brown planthopper resistance locus, Bph34 in Oryza sativa L. X Oryza nivara (Sharma & Shastry) derived interspecific F(2) population.",6,BPH,Bph34,遗传定位、克隆与抗源部署
30363818,2018,Plant molecular biology reporter,Genome-Wide Analysis of Genetic Variations and the Detection of Rich Variants of NBS-LRR Encoding Genes in Common Wild Rice Lines.,6,BPH,Bph14;Bph26;Bph18;OsRP1L1,遗传定位、克隆与抗源部署
30977704,2018,Open biology,"The histone deacetylase NlHDAC1 regulates both female and male fertility in the brown planthopper, Nilaparvata lugens.",4,BPH,,生长防御权衡与农艺环境
29545538,2018,Scientific reports,The evolution of insecticide resistance in the brown planthopper (Nilaparvata lugens Stål) of China in the period 2012-2016.,3,BPH,,生长防御权衡与农艺环境
30393420,2018,"Crop protection (Guildford, Surrey)",Virulence adaptation in a rice leafhopper: Exposure to ineffective genes compromises pyramided resistance.,3,BPH,Bph25;Bph26;Bph3;Bph32,宿主免疫、肽信号与昆虫效应子;遗传定位、克隆与抗源部署
29503500,2018,Field crops research,"Resistance and tolerance to the brown planthopper, Nilaparvata lugens (Stål), in rice infested at different growth stages across a gradient of nitrogen applications.",3,BPH,Bph3;Bph4,次生代谢与挥发性防御;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
30006850,2018,"Rice (New York, N.Y.)","Expression Profile of Defense Genes in Rice Lines Pyramided with Resistance Genes Against Bacterial Blight, Fungal Blast and Insect Gall Midge.",3,BPH;WBPH,,生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署
30587129,2018,BMC genomics,Identification of putative fecundity-related gustatory receptor genes in the brown planthopper Nilaparvata lugens.,3,BPH,,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御
30044049,2018,Plant biotechnology journal,Transgenic microRNA-14 rice shows high resistance to rice stem borer.,3,BPH,,
30002665,2018,Frontiers in plant science,"Wild Relatives of Maize, Rice, Cotton, and Soybean: Treasure Troves for Tolerance to Biotic and Abiotic Stresses.",3,BPH,,遗传定位、克隆与抗源部署
30289955,2018,PloS one,Variation in susceptibility of eight insecticides in the brown planthopper Nilaparvata lugens in three regions of Vietnam 2015-2017.,2,BPH,,
29358653,2018,Nature genetics,Bph6 encodes an exocyst-localized protein and confers broad resistance to planthoppers in rice.,2,,Bph6,遗传定位、克隆与抗源部署
29706901,2018,Frontiers in physiology,Silencing of Chemosensory Protein Gene NlugCSP8 by RNAi Induces Declining Behavioral Responses of Nilaparvata lugens.,2,BPH,,生长防御权衡与农艺环境
29619515,2018,Plant cell reports,OsEXPA10 mediates the balance between growth and resistance to biotic stress in rice.,2,BPH,OsEXPA10,遗传定位、克隆与抗源部署
29934776,2018,Planta,Silencing of miR156 confers enhanced resistance to brown planthopper in rice.,2,BPH,,激素、氧化还原与信号调控;生长防御权衡与农艺环境;韧皮部取食界面与结构防御
29368405,2018,Insect science,"Effects of seed mixture sowing with transgenic Bt rice and its parental line on the population dynamics of target stemborers and leafrollers, and non-target planthoppers.",1,,,
29467785,2018,Frontiers in plant science,Morphological and Molecular Data Reveal Three Distinct Populations of Indian Wild Rice Oryza rufipogon Griff. Species Complex.,1,BPH,,生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署
29629479,2018,"Rice (New York, N.Y.)",IR64: a high-quality and high-yielding mega variety.,1,BPH,Bph1,生长防御权衡与农艺环境
30830454,2018,Metabolomics : Official journal of the Metabolomic Society,Lipid profiles reveal different responses to brown planthopper infestation for pest susceptible and resistant rice plants.,1,BPH,,
29593771,2018,Frontiers in plant science,Checkmite!? Is the Resistance to Phytophagous Mites on Short and Stocky Wild Oryza Species?,1,BPH;WBPH,,生长防御权衡与农艺环境
30497534,2018,Journal of ethnobiology and ethnomedicine,"Status and factors influencing on-farm conservation of Kam Sweet Rice (Oryza sativa L.) genetic resources in southeast Guizhou Province, China.",1,BPH,,生长防御权衡与农艺环境
29633040,2018,"Rice (New York, N.Y.)",Thai Hom Mali Rice: Origin and Breeding for Subsistence Rainfed Lowland Rice System.,1,BPH,,遗传定位、克隆与抗源部署
30594646,2018,"Genomics, proteomics & bioinformatics",From Basic Research to Molecular Breeding - Chinese Scientists Play A Central Role in Boosting World Rice Production.,1,,Bph14;Bph3,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
30486776,2018,BMC genomics,Dynamic transcriptomes of resistant and susceptible peach lines after infestation by green peach aphids (Myzus persicae Sülzer) reveal defence responses controlled by the Rm3 locus.,1,BPH,Bph14;Bph26;Bph3,遗传定位、克隆与抗源部署
30956648,2018,Journal of pest science,Long-term seasonal forecasting of a major migrant insect pest: the brown planthopper in the Lower Yangtze River Valley.,1,BPH,,病毒-媒介-水稻三方互作
30265342,2018,Journal of economic entomology,"Transcriptomic and Expression Analysis of the Salivary Glands in Brown Planthoppers, Nilaparvata lugens (Hemiptera: Delphacidae).",1,BPH,,宿主免疫、肽信号与昆虫效应子
30154418,2018,Scientific reports,Identification and expression analysis of putative chemoreception genes from Cyrtorhinus lividipennis (Hemiptera: Miridae) antennal transcriptome.,1,BPH,,次生代谢与挥发性防御
29425132,2018,Insects,Preliminary Investigation of Species Diversity of Rice Hopper Parasitoids in Southeast Asia.,1,BPH,,
30380782,2018,Viruses,Impact of Two Reoviruses and Their Coinfection on the Rice RNAi System and vsiRNA Production.,1,BPH;WBPH,,病毒-媒介-水稻三方互作
29373714,2018,Journal of experimental botany,"Corrigendum: Map-based cloning and characterization of BPH29, a B3 domain-containing recessive gene conferring brown planthopper resistance in rice.",1,BPH,Bph29,遗传定位、克隆与抗源部署
29974251,2018,Molecular genetics and genomics : MGG,"Developing japonica rice introgression lines with multiple resistance genes for brown planthopper, bacterial blight, rice blast, and rice stripe virus using molecular breeding.",1,BPH,Bph18,病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署
30560465,2018,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,Back to the future: revisiting MAS as a tool for modern plant breeding.,1,,Bph32,遗传定位、克隆与抗源部署
29415259,2018,Journal of insect science (Online),"Analysis of Homologs of Cry-toxin Receptor-Related Proteins in the Midgut of a Non-Bt Target, Nilaparvata lugens (Stål) (Hemiptera: Delphacidae).",1,BPH,,宿主免疫、肽信号与昆虫效应子
29282566,2017,"Rice (New York, N.Y.)",Marker assisted pyramiding of Bph6 and Bph9 into elite restorer line 93-11 and development of functional marker for Bph9.,39,BPH,Bph6;Bph9;Bph14;Bph15;Bph1;Bph14N;Bph14P;Bph27;Bph3;Bph25;Bph26;Bph18,生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
28278368,2017,Plant biotechnology journal,Dynamic metabolic responses of brown planthoppers towards susceptible and resistant rice plants.,39,BPH,Bph15;Bph14;Bph26;Bph1,宿主免疫、肽信号与昆虫效应子;次生代谢与挥发性防御;激素、氧化还原与信号调控;韧皮部取食界面与结构防御
28245796,2017,BMC plant biology,Gene expression and plant hormone levels in two contrasting rice genotypes responding to brown planthopper infestation.,31,BPH,OsACS2;OsERF3;OsHI-LOX;OsHPL3;OsJMT1;Osr9-LOX1;OsAOC;OsPLD;OsPLDa4,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作;遗传定位、克隆与抗源部署
28098179,2017,Scientific reports,A salivary EF-hand calcium-binding protein of the brown planthopper Nilaparvata lugens functions as an effector for defense responses in rice.,25,BPH,Bph1,宿主免疫、肽信号与昆虫效应子;激素、氧化还原与信号调控;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
28680158,2017,Scientific reports,Higher Fertilizer Inputs Increase Fitness Traits of Brown Planthopper in Rice.,20,BPH,,次生代谢与挥发性防御;生长防御权衡与农艺环境
28512299,2017,Scientific reports,"Transgenic Bt rice lines producing Cry1Ac, Cry2Aa or Cry1Ca have no detrimental effects on Brown Planthopper and Pond Wolf Spider.",19,BPH,,生长防御权衡与农艺环境
28861736,2017,"Rice (New York, N.Y.)","Identification and fine mapping of a new gene, BPH31 conferring resistance to brown planthopper biotype 4 of India to improve rice, Oryza sativa L.",18,BPH,Bph31,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
28821824,2017,Scientific reports,Identification and analysis of brown planthopper-responsive microRNAs in resistant and susceptible rice plants.,14,BPH,Bph15,次生代谢与挥发性防御;生长防御权衡与农艺环境;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
28167952,2017,Frontiers in plant science,Interactions between Nitrogen and Silicon in Rice and Their Effects on Resistance toward the Brown Planthopper Nilaparvata lugens.,13,BPH,OsMPK3;OsMPK6;OsNPR1;OsAMT1;OsGS1,激素、氧化还原与信号调控;生长防御权衡与农艺环境;韧皮部取食界面与结构防御
28740253,2017,Scientific reports,Effects of Transgenic Rice Infected with SRBSDV on Bt expression and the Ecological Fitness of Non-vector Brown Planthopper Nilaparvata lugens.,13,BPH;WBPH,,宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作
28638401,2017,Frontiers in plant science,Development of Elite BPH-Resistant Wide-Spectrum Restorer Lines for Three and Two Line Hybrid Rice.,13,BPH,Bph6;Bph9;Bph68S;Bph14;Bph15;Bph18;Bph27;Bph3,生长防御权衡与农艺环境;遗传定位、克隆与抗源部署
29249980,2017,Frontiers in physiology,Functional Study of Cytochrome P450 Enzymes from the Brown Planthopper (Nilaparvata lugens Stål) to Analyze Its Adaptation to BPH-Resistant Rice.,12,BPH,Bph15;Bph14,次生代谢与挥发性防御;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
28439066,2017,Scientific reports,Silicon amendment to rice plants impairs sucking behaviors and population growth in the phloem feeder Nilaparvata lugens (Hemiptera: Delphacidae).,11,BPH,Bph14;Bph15,次生代谢与挥发性防御;遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御
